PLZ;Ortsname;Ortszusatz;Ortsteil;Straße;Nrn.;Or.;Bem.
20095;Hamburg;;Hamburg-Altstadt;Brandsende;alle;;
20099;Hamburg;;St. Georg;Steintorplatz;alle;;
20148;Hamburg;;Rotherbaum;Mittelweg;119 - 999;ungerade;
20149;Hamburg;;Harvestehude;Klostergarten;alle;;
20249;Hamburg;;Eppendorf;Sudeckstr.;alle;;
20354;Hamburg;;Neustadt;Kalkhof;alle;;
20355;Hamburg;;Neustadt;Holstenwall;alle;;
20459;Hamburg;;Neustadt;Kuhberg;alle;;
20537;Hamburg;;Hamm;Eiffestr.;95 - 999;ungerade;
20537;Hamburg;;Hamm;Steinbeker Str.;alle;;
20539;Hamburg;;Rothenburgsort;Billhorner Kanalstr.;alle;;
20539;Hamburg;;Rothenburgsort;Gustav-Kunst-Str.;alle;;
21029;Hamburg;;Bergedorf;Kirchhofsweg;alle;;
21073;Hamburg;;Eißendorf;Bahrstr.;alle;;
21073;Hamburg;;Harburg;Dritte Twiete;alle;;
21075;Hamburg;;Heimfeld;Vahlenkampffweg;alle;;
21077;Hamburg;;Marmstorf;Feuerberg;alle;;
21079;Hamburg;;Rönneburg;Pepers Seeg;alle;;
21107;Hamburg;;Wilhelmsburg;Köhlbrandstr.;alle;;
21129;Hamburg;;Finkenwerder;Steendiek;alle;;
21149;Hamburg;;Neugraben-Fischbek;Am Scheinberg;alle;;
22041;Hamburg;;Marienthal;Botenstieg;alle;;
22047;Hamburg;;Tonndorf;Westerlandstr.;alle;;
22081;Hamburg;;Barmbek-Süd;Holsteinischer Weg;alle;;
22081;Hamburg;;Barmbek-Süd;Marschnerstieg;alle;;
22081;Hamburg;;Uhlenhorst;Oberaltenallee;alle;;
22083;Hamburg;;Barmbek-Süd;Weberstr.;alle;;
22115;Hamburg;;Billstedt;Erhard-Dressel-Bogen;alle;;
22117;Hamburg;;Billstedt;Papyrusweg;alle;;
22159;Hamburg;;Farmsen-Berne;Rokeshöhe;alle;;
22179;Hamburg;;Bramfeld;Weidkoppel;alle;;
22301;Hamburg;;Winterhude;Dorotheenstr.;1 - 119;ungerade;
22307;Hamburg;;Barmbek-Nord;Neue Wöhr;alle;;
22335;Hamburg;;Fuhlsbüttel;Kleekamp;02. Feb;gerade;
22359;Hamburg;;Volksdorf;Rögenweg;alle;;
22391;Hamburg;;Poppenbüttel;Stadtbahnstr.;114 - 998;gerade;
22393;Hamburg;;Sasel;Meinertstr.;alle;;
22417;Hamburg;;Hummelsbüttel;Hattsmoor;alle;;
22419;Hamburg;;Langenhorn;Twisselwisch;alle;;
22453;Hamburg;;Niendorf;Steinhoffweg;alle;;
22455;Hamburg;;Niendorf;Wilzenweg;alle;;
22457;Hamburg;;Eidelstedt;Brummerskamp;36 - 998;gerade;
22459;Hamburg;;Niendorf;Ubierweg;alle;;
22527;Hamburg;;Stellingen;Högenstr.;70 - 998;gerade;
22529;Hamburg;;Lokstedt;Buchenallee;alle;;
22547;Hamburg;;Lurup;Limosenweg;alle;;
22549;Hamburg;;Lurup;Achtern Moor;alle;;
22549;Hamburg;;Osdorf;Mohnstieg;alle;;
22587;Hamburg;;Blankenese;Rissener Landstr.;Feb 54;gerade;
22767;Hamburg;;Altona-Altstadt;Govertsweg;alle;;
80935;München;;Feldmoching-Hasenbergl;Gundermannstr.;alle;;
80992;München;;Moosach;Feichtmayrstr.;alle;;
81673;München;;Berg am Laim;Halserspitzstr.;alle;;
82442;Saulgrub;;Saulgrub;Am Anger;alle;;
82481;Mittenwald;;Mittenwald;Aschauer Alm;alle;;
83209;Prien a. Chiemsee;;Trautersdorf;Trautersdorf;alle;;
83246;Unterwössen;;Unterwössen;Mühlackerweg;alle;;
83564;Soyen;;Soyen;Wiesenweg;alle;;
83607;Holzkirchen;Oberbay;Föching;Westermeierstr.;alle;;
84085;Langquaid;;Adlhausen;Bergstr.;alle;;
84329;Wurmannsquick;;Wurmannsquick;Oberthürstr.;alle;;
84364;Bad Birnbach;Rottal;Bad Birnbach;Graf-Arco-Str.;alle;;
84387;Julbach;Niederbay;Oberjulbach;Dorfstr.;alle;;
84494;Niedertaufkirchen;;Niedertaufkirchen;Lanzenthal;alle;;
84564;Oberbergkirchen;;Irl;Irl;alle;;
84568;Pleiskirchen;;Oberau;Oberau;alle;;
84577;Tüßling;;Heiligenstatt;Marsstr.;alle;;
85055;Ingolstadt;Donau;Oberhaunstadt;Draisstr.;alle;;
85123;Karlskron;;Josephenburg;Kirchstr.;alle;;
85250;Altomünster;;Altomünster;Hechthof;alle;;
85283;Wolnzach;;Rinnermaierhof;Rinnermaierhof;alle;;
85395;Attenkirchen;;Gütlsdorf;Schlehenweg;alle;;
85652;Pliening;;Landsham;An der Chaussee;alle;;
85652;Pliening;;Landsham;Kirchheimer Str.;alle;;
86343;Königsbrunn;b Augsburg;;Graf-von-Stauffenberg-Str.;alle;;
86356;Neusäß;;Schlipsheim;Schulstr.;alle;;
86381;Krumbach (Schwaben);;Edenhausen;Hofbauerweg;alle;;
86391;Stadtbergen;;Stadtbergen;Schubertstr.;alle;;
86684;Holzheim;b Rain, Lech;Holzheim;Rosenweg;alle;;
86706;Weichering;;Lichtenau;Schulweg;alle;;
87527;Sonthofen;Oberallgäu;Altstädten;Sonthofener Str.;alle;;
87700;Memmingen;;Memmingen;Grenzhofstr.;alle;;
87770;Oberschönegg;;Dietershofen;Kirchstr.;alle;;
88131;Lindau (Bodensee);;Reutin;Lagerhausstr.;alle;;
89331;Burgau;Schwab;Burgau;Hindenburgplatz;alle;;
90587;Obermichelbach;b Fürth, Bay;Rothenberg;Traubenweg;alle;;
91077;Neunkirchen a. Brand;;Neunkirchen;Äußerer Markt;alle;;
91586;Lichtenau;Mittelfr;Lichtenau;Von-Heydeck-Str.;alle;;
92715;Püchersreuth;;Püchersreuth;Ilsenbacher Str.;alle;;
94081;Fürstenzell;;Fürstenzell;Passauer Str.;alle;;
94405;Landau a.d.Isar;;Möding;Laubenweg;alle;;
95145;Oberkotzau;;Oberkotzau;Steinweg;alle;;
96465;Neustadt b. Coburg;;Ebersdorf;Sonneberger Str.;101 - 999;ungerade;
96472;Rödental;;Waldsachsen;Am Mühlberg;alle;;
97080;Würzburg;;Grombühl;Mittlerer Steinbergweg;alle;;
97199;Ochsenfurt;Unterfr;Hohestadt;Fliederstr.;alle;;
97320;Sulzfeld a. Main;;;Julius-Echter-Str.;alle;;
97705;Burkardroth;;Oehrberg;Oehrbachstr.;alle;;
97786;Motten;;Kothen;Zum Schmelzhof;alle;;
97852;Schollbrunn;Spessart;;In den Geisegärten;alle;;
